production_company,movies,domestic_box_office,worldwide_box_office
Universal Pictures,252,18444401349.00 ,43905255957.00 
Warner Bros.,249,18982072825.00 ,43899784600.00 
Columbia Pictures,245,18524810041.00 ,41488842042.00 
Walt Disney Pictures,130,15873663739.00 ,38427955717.00 
Marvel Studios,62,12974487990.00 ,33690087863.00 
Paramount Pictures,167,12890564480.00 ,30175149826.00 
20th Century Fox,108,10106839331.00 ,25235101263.00 
Dune Entertainment,70,6307177998.00 ,16495895541.00 
Legendary Pictures,61,6310074576.00 ,16285066288.00 
Relativity Media,117,7363230475.00 ,15349403396.00 
DreamWorks Animation,45,5658598565.00 ,15210717972.00 
Amblin Entertainment,63,5955058398.00 ,14607618051.00 
Disney-Pixar,24,6074756959.00 ,14501016622.00 
New Line Cinema,111,6216591555.00 ,14164819223.00 
Village Roadshow Productions,78,5635939423.00 ,13410029745.00 
DreamWorks Pictures,82,6698382998.00 ,13373445224.00 
Regency Enterprises,143,5906823248.00 ,12897959847.00 
Metro-Goldwyn-Mayer Pictures,104,5058184486.00 ,12181961415.00 
Lucasfilm,23,5658835730.00 ,11631972401.00 
Heyday Films,25,3516222325.00 ,11025801479.00 
Walt Disney Animation Studios,23,3761839698.00 ,10209635546.00 
RatPac Entertainment,46,3963515749.00 ,10002740119.00 
Lionsgate,168,5087351600.00 ,9794683157.00 
Summit Entertainment,72,3362726133.00 ,8459321739.00 
Touchstone Pictures,66,4340327149.00 ,8311978479.00 
Working Title Films,95,2438239621.00 ,7777521592.00 
di Bonaventura Pictures,31,2741315020.00 ,7607033196.00 
Original Film,36,2566020198.00 ,7472307658.00 
Jerry Bruckheimer,21,3100355178.00 ,7379657476.00 
Bad Robot,20,3055104013.00 ,7141415709.00 
TSG Entertainment,44,2576168646.00 ,7078850031.00 
Illumination Entertainment,12,2610573965.00 ,6719842585.00 
Eon Productions,25,1907784162.00 ,6355731979.00 
Wingnut Films,12,2026409907.00 ,6308739568.00 
Twentieth Century Fox,46,2493568301.00 ,6181657595.00 
1492 Pictures,22,2473204496.00 ,6161739280.00 
Perfect World Pictures,35,2306458449.00 ,6046313649.00 
Skydance Productions,27,2045149516.00 ,5912612916.00 
The Kennedy/Marshall Company,30,2445568419.00 ,5831932244.00 
Fox 2000 Pictures,50,2656928451.00 ,5739236300.00 
Imagine Entertainment,53,2608296276.00 ,5308391399.00 
Ingenious Film Partners,16,1509413779.00 ,5047187409.00 
Temple Hill Entertainment,33,2079270207.00 ,5039635391.00 
Blue Sky Studios,15,1545098142.00 ,5037092918.00 
Hasbro Studios,15,1755071351.00 ,4913495236.00 
Sony Pictures Animation,24,1752216821.00 ,4877684143.00 
PDI,9,1938568463.00 ,4841195700.00 
Syncopy,7,1945132877.00 ,4781092214.00 
One Race Films,11,1141774168.00 ,4747567486.00 
Blumhouse,104,2444306165.00 ,4637521292.00 
Chernin Entertainment,23,1895327188.00 ,4633541891.00 
Canal Plus,208,1249715974.00 ,4601355104.00 
Donners’ Company,15,1797626246.00 ,4550608280.00 
Atlas Entertainment,18,1668697466.00 ,4473066719.00 
Silver Pictures,34,2019545469.00 ,4464395953.00 
New Regency,61,1913138282.00 ,4461713450.00 
Ingenious Media,62,1596028856.00 ,4416387256.00 
Spyglass Entertainment,30,2311618021.00 ,4394307290.00 
Scott Free Films,48,1618885942.00 ,4152657698.00 
Walden Media,34,1726270472.00 ,4142689647.00 
Fairview Entertainment,6,1670469187.00 ,4048993510.00 
Zancuk Company,13,1690664751.00 ,4043758057.00 
Dentsu Inc.,15,1062434079.00 ,4013732969.00 
Tri-Star Pictures,51,2046617916.00 ,4001670702.00 
Sunswept Entertainment,15,1632914506.00 ,3926522745.00 
Cruel and Unusual Films,6,1449982257.00 ,3913978638.00 
Roth Films,11,1419041127.00 ,3910492752.00 
Happy Madison,36,2338633161.00 ,3907145972.00 
Overbrook Entertainment,21,1729726060.00 ,3887399142.00 
StudioCanal,111,871833790.00 ,3742418688.00 
Scott Rudin Productions,43,2135382420.00 ,3737249383.00 
Davis Entertainment,41,1554093343.00 ,3735103647.00 
Chris Meledandri,7,1642848674.00 ,3713732726.00 
Kinberg Genre,10,1309850196.00 ,3702252576.00 
LStar Capital,24,1505003967.00 ,3698140413.00 
Screen Gems,53,1829770822.00 ,3637060708.00 
Centropolis Entertainment,14,1229431531.00 ,3609200506.00 
Brian Grazer Productions,19,1541066841.00 ,3496977080.00 
Color Force,13,1780595298.00 ,3471298525.00 
GK Films,17,1239325149.00 ,3469160264.00 
The Safran Company,21,1140105358.00 ,3401657043.00 
Lightstorm Entertainment,7,968579680.00 ,3240749335.00 
Mandeville Films,25,1599408407.00 ,3222498838.00 
Participant Media,89,1601232646.00 ,3212236789.00 
Weinstein Company,42,1364028710.00 ,3209222610.00 
Castle Rock Entertainment,55,1927087452.00 ,3198258544.00 
Fox Searchlight Pictures,78,1359936586.00 ,3151302467.00 
Revolution Studios,35,1764350680.00 ,3128746630.00 
Cruise-Wagner,7,1107923624.00 ,3031872684.00 
Vertigo Entertainment,32,1530710402.00 ,2993919484.00 
Plan B Entertainment,32,1236011273.00 ,2960653087.00 
Tencent Pictures,11,998612917.00 ,2929615286.00 
United Artists,24,1075236299.00 ,2908791381.00 
Focus Features,65,1298253765.00 ,2906759535.00 
Wanda Media,21,184393825.00 ,2883131835.00 
China Film Company,8,359059989.00 ,2752196519.00 
Bad Hat Harry Productions,8,1041487477.00 ,2735381962.00 
Laura Ziskin Productions,5,1251677772.00 ,2715978404.00 
Parkes+Macdonald Productions,17,1070293747.00 ,2714944995.00 
Matt Tolmach Productions,8,957338916.00 ,2660894789.00 
